dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64114688,13111296,50470912,11153408,52596736
184320,802816,63508480,64163840,13111296,50470912,11153408,52596736
184320,802816,63508480,64163840,13111296,50470912,11153408,52596736
184320,802816,363540480,64163840,13111296,50470912,11153408,52596736
184320,802816,363540480,64163840,13111296,50470912,11153408,52596736
184320,802816,430587904,64163840,13111296,50470912,11153408,52596736
184320,802816,430587904,64163840,13111296,50470912,11153408,52596736
184320,802816,614350848,64163840,13111296,50470912,11153408,52596736
184320,802816,689610752,64163840,13111296,50470912,11153408,52596736
184320,802816,689610752,64163840,13111296,50470912,11153408,52596736
184320,802816,698204160,64163840,13111296,50470912,11153408,52596736
184320,802816,717594624,64163840,13111296,50470912,11153408,52596736
184320,802816,717594624,64163840,13111296,50470912,11153408,52596736
184320,802816,717623296,64163840,13111296,50470912,11153408,52596736
184320,843776,735375360,64163840,13111296,80166912,11235328,52801536
184320,843776,735375360,64163840,160628736,80166912,11235328,52801536
303104,843776,735375360,64163840,160628736,211447808,11235328,52801536
303104,843776,735375360,64163840,181018624,211447808,11235328,52801536
942080,843776,735375360,64163840,181018624,245088256,11235328,52801536
942080,843776,735375360,64163840,246566912,290119680,11235328,52801536
942080,843776,735375360,64163840,297820160,338874368,11235328,52801536
942080,843776,735375360,64163840,297820160,366194688,11235328,52801536
942080,843776,735375360,64163840,320860160,366194688,11235328,52801536
942080,843776,735375360,64163840,320860160,372224000,11235328,52801536
942080,843776,735375360,64163840,320860160,372224000,11235328,52801536
942080,843776,735375360,64163840,320860160,372224000,11235328,52801536
1343488,843776,735375360,64163840,320925696,372224000,11235328,52801536
1343488,843776,735375360,64163840,320925696,372621312,11235328,52801536
1343488,843776,735375360,64163840,320925696,372621312,11235328,52801536
1343488,843776,735375360,64163840,320925696,372621312,11235328,52801536
1343488,843776,735375360,64163840,320925696,372621312,11235328,52801536
1343488,843776,735375360,64163840,321269760,372621312,11235328,52801536
2269184,843776,735375360,64163840,321269760,372719616,11235328,52801536
2269184,843776,735375360,64163840,332718080,372719616,11235328,52801536
2269184,843776,735375360,64163840,343220224,372789248,11235328,52801536
2269184,843776,735375360,64163840,343220224,393777152,11235328,52801536
12754944,843776,735375360,64163840,353705984,393777152,11235328,52801536
12754944,843776,735375360,64163840,353705984,414515200,11235328,52801536
12754944,843776,735375360,64163840,353705984,425000960,11235328,52801536
23257088,843776,735375360,64163840,363696128,435486720,11235328,52801536
23257088,843776,735375360,64163840,363696128,435486720,11235328,52801536
33742848,843776,735375360,64163840,374181888,541175808,11235328,52801536
33742848,843776,735375360,64163840,384667648,541175808,11235328,52801536
54218752,843776,735375360,64163840,384667648,600100864,11235328,52801536
54218752,843776,735375360,64163840,540012544,621350912,11235328,52801536
75190272,843776,735375360,64163840,549232640,621350912,11235328,52801536
75190272,843776,735375360,64163840,549232640,635174912,11235328,52801536
225603584,843776,735375360,64163840,565329920,635174912,11235328,52801536
235827200,843776,735375360,64163840,573632512,635179008,11235328,52801536
235827200,843776,735375360,64163840,573632512,635179008,11235328,52801536
254894080,843776,735375360,64163840,597413888,635179008,11235328,52801536
254898176,843776,735375360,64163840,597413888,653025280,11235328,52801536
254898176,843776,735375360,64163840,616050688,653025280,11235328,52801536
285290496,843776,735375360,64163840,616050688,670785536,11235328,52801536
