dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,110592,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,139264,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,139264,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,143360,102400,0,106496,0,0,4096,102400,4096,4096
0,0,0,4096,4096,4096,143360,102400,0,106496,0,0,4096,102400,102400,102400
0,0,0,4096,4096,4096,143360,102400,106496,106496,0,106496,102400,102400,102400,102400
0,0,106496,102400,4096,102400,143360,102400,106496,139264,106496,106496,102400,102400,102400,102400
106496,106496,106496,102400,102400,102400,143360,102400,135168,139264,135168,135168,102400,102400,102400,102400
143360,106496,106496,102400,102400,102400,143360,102400,135168,155648,139264,139264,102400,102400,102400,102400
151552,151552,155648,102400,102400,102400,143360,102400,155648,15724544,139264,155648,102400,102400,102400,102400
176128,163840,172032,102400,102400,102400,143360,102400,155648,15724544,143360,155648,102400,102400,102400,102400
176128,163840,172032,102400,102400,102400,143360,102400,155648,15724544,155648,155648,102400,102400,102400,102400
176128,176128,172032,102400,102400,102400,143360,102400,155648,39604224,155648,155648,102400,102400,102400,102400
15745024,10661888,172032,102400,102400,102400,143360,102400,155648,39604224,10641408,155648,102400,102400,102400,102400
15745024,10661888,172032,102400,102400,102400,143360,102400,15724544,39604224,39604224,10641408,102400,102400,102400,102400
39624704,39624704,172032,102400,102400,102400,143360,102400,39604224,39604224,39604224,39604224,102400,102400,102400,102400
39624704,39624704,10657792,102400,102400,102400,143360,102400,39604224,39604224,39604224,39604224,102400,102400,102400,102400
