dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
0,0,4096,4096,4096,4096,0,4096,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,4096,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,4096,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,4096,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,4096,0,4096,4096,4096
0,0,4096,4096,122880,114688,0,4096,0,4096,4096,4096
0,0,4096,4096,151552,114688,0,4096,0,4096,4096,4096
0,0,4096,4096,155648,114688,0,4096,0,4096,4096,4096
0,0,4096,4096,155648,114688,0,4096,0,4096,4096,4096
0,0,4096,4096,155648,114688,0,4096,0,4096,4096,4096
118784,0,4096,114688,155648,114688,0,4096,118784,4096,4096,4096
118784,118784,114688,114688,155648,114688,118784,122880,147456,114688,114688,118784
147456,147456,114688,114688,155648,114688,118784,122880,147456,114688,114688,118784
151552,147456,114688,114688,155648,114688,147456,151552,147456,114688,114688,118784
151552,167936,114688,114688,155648,114688,147456,155648,151552,114688,114688,118784
167936,167936,114688,114688,155648,114688,167936,176128,167936,114688,114688,118784
167936,167936,114688,114688,155648,114688,167936,176128,167936,114688,114688,118784
167936,10653696,114688,114688,155648,114688,167936,176128,15736832,114688,114688,118784
167936,10653696,114688,114688,155648,114688,167936,176128,39645184,114688,114688,118784
10653696,38965248,114688,114688,155648,114688,38928384,10661888,39645184,114688,114688,118784
39624704,39645184,114688,114688,155648,114688,38928384,10661888,39645184,114688,114688,118784
39624704,39645184,114688,114688,155648,114688,39645184,39653376,39645184,114688,114688,118784
