dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,184320,16384,798720,63545344,64114688,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,63545344,64114688,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,63545344,64114688,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,63545344,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,332623872,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,332623872,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,479973376,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,570572800,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,632430592,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,632430592,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,636928000,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,16384,798720,636928000,64237568,43057152,20307968,12288,63549440,4096,131072
12288,184320,122880,798720,636928000,64237568,43057152,20307968,12288,63549440,126976,131072
12288,184320,122880,905216,636928000,64237568,112517120,60084224,12288,63655936,126976,131072
12288,610304,122880,905216,636928000,64237568,187719680,195198976,12288,63655936,126976,233472
155648,610304,122880,905216,636928000,64237568,187719680,269766656,147456,63655936,126976,233472
155648,819200,122880,905216,636928000,64237568,273235968,269766656,147456,63655936,126976,233472
200704,819200,122880,905216,636928000,64237568,301375488,297451520,2125824,63655936,126976,233472
233472,1851392,122880,905216,636928000,64237568,301375488,311926784,16744448,63655936,126976,233472
233472,56922112,122880,905216,636928000,64237568,308137984,311926784,17342464,63655936,126976,233472
15802368,64761856,122880,905216,636928000,64237568,308137984,312832000,17342464,63655936,126976,233472
39710720,64761856,122880,905216,636928000,64237568,308178944,313810944,17391616,63655936,126976,233472
39710720,64761856,122880,905216,636928000,64237568,308178944,324296704,17391616,63655936,126976,233472
39710720,64761856,122880,905216,636928000,64237568,351928320,333889536,32960512,63655936,126976,233472
39710720,64761856,122880,905216,636928000,64237568,371249152,333889536,32960512,63655936,126976,233472
