dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
0,0,4096,4096,4096,4096,12288,0,12288,12288,12288,12288
0,0,4096,4096,4096,4096,12288,0,12288,12288,12288,12288
0,0,4096,4096,4096,4096,12288,0,12288,12288,12288,12288
0,0,4096,4096,4096,4096,12288,0,12288,12288,12288,12288
0,0,4096,4096,4096,114688,12288,0,12288,12288,12288,12288
0,0,4096,4096,4096,114688,12288,0,12288,12288,12288,12288
0,0,4096,4096,122880,114688,12288,0,12288,12288,12288,12288
0,0,4096,4096,155648,114688,12288,0,12288,12288,12288,12288
0,0,4096,4096,155648,114688,12288,0,12288,12288,12288,12288
0,0,4096,4096,155648,114688,131072,0,12288,12288,131072,131072
0,0,4096,4096,155648,114688,131072,118784,135168,131072,131072,131072
0,0,4096,4096,155648,114688,131072,147456,163840,131072,131072,131072
118784,0,114688,4096,155648,114688,131072,147456,163840,131072,131072,131072
118784,118784,114688,114688,155648,114688,163840,147456,163840,131072,131072,131072
147456,147456,114688,114688,155648,114688,163840,151552,167936,131072,131072,131072
147456,147456,114688,114688,155648,114688,180224,167936,167936,131072,131072,131072
151552,155648,114688,114688,155648,114688,180224,167936,184320,131072,131072,131072
167936,155648,114688,114688,155648,114688,180224,167936,10670080,131072,131072,131072
167936,167936,114688,114688,155648,114688,180224,15736832,10670080,131072,131072,131072
15736832,167936,114688,114688,155648,114688,10665984,15736832,15753216,131072,131072,131072
15736832,10653696,114688,114688,155648,114688,10665984,39645184,39661568,131072,131072,131072
