dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63176704,49152,63680512,233472,63651840
184320,2129920,63725568,63299584,49152,63680512,233472,63651840
184320,2129920,119615488,63299584,49152,63680512,233472,63651840
184320,2129920,119615488,63299584,49152,63680512,233472,63651840
184320,2129920,411545600,63299584,49152,63680512,233472,63651840
184320,2129920,411545600,63299584,49152,63680512,233472,63651840
184320,2129920,586551296,63299584,49152,63680512,233472,63651840
184320,2129920,586551296,63299584,49152,63680512,233472,63651840
184320,2129920,636977152,63299584,49152,63680512,233472,63651840
184320,2129920,636977152,63299584,49152,63680512,233472,63651840
184320,2129920,636977152,63299584,49152,63680512,233472,63651840
602112,2236416,636977152,63299584,49152,63680512,233472,63770624
602112,2236416,636977152,63299584,49152,63680512,233472,63770624
651264,2236416,636977152,63299584,282624,370143232,364544,63770624
651264,2236416,636977152,63299584,282624,452481024,364544,63770624
1433600,2236416,636977152,63299584,53276672,452481024,364544,63770624
24993792,2236416,636977152,63299584,77787136,514424832,364544,63770624
64827392,2236416,636977152,63299584,96722944,542285824,364544,63770624
64827392,2236416,636977152,63299584,96722944,542285824,364544,63770624
64827392,2236416,636977152,63299584,97042432,543432704,364544,63770624
64827392,2236416,636977152,63299584,97042432,543432704,364544,63770624
64827392,2236416,636977152,63299584,112611328,561602560,364544,63770624
