dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,14794752,12288,864256,48721920,64122880,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64122880,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64122880,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64122880,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64122880,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,48721920,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,356569088,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,403972096,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,560504832,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,560504832,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,621993984,64253952,22941696,21520384,18825216,14553088,24813568,24457216
12288,14794752,12288,864256,621993984,64253952,31318016,21520384,18825216,14553088,24928256,24457216
12288,14794752,12288,864256,621993984,64253952,31318016,21520384,18825216,14663680,24928256,24719360
12288,14794752,126976,978944,621993984,64253952,119402496,129585152,116645888,14663680,24928256,24719360
413696,14794752,126976,978944,621993984,64253952,119402496,129585152,116645888,14663680,24928256,24719360
413696,15220736,126976,978944,621993984,64253952,119402496,129585152,116645888,14663680,24928256,24719360
466944,15273984,126976,978944,621993984,64253952,155095040,165580800,150704128,14663680,24928256,24719360
466944,15437824,126976,978944,621993984,64253952,185847808,165580800,150704128,14663680,24928256,24719360
483328,15437824,126976,978944,621993984,64253952,185847808,205987840,185454592,14663680,24928256,24719360
483328,16470016,126976,978944,621993984,64253952,199430144,205987840,202727424,14663680,24928256,24719360
10985472,16470016,126976,978944,621993984,64253952,209764352,226754560,202727424,14663680,24928256,24719360
56672256,35700736,126976,978944,621993984,64253952,209764352,226766848,204046336,14663680,24928256,24719360
57208832,55947264,126976,978944,621993984,64253952,209764352,227057664,233897984,14663680,24928256,24719360
57208832,55947264,126976,978944,621993984,64253952,210051072,227057664,233897984,14663680,24928256,24719360
61939712,55947264,126976,978944,621993984,64253952,232673280,266670080,267145216,14663680,24928256,24719360
61947904,55947264,126976,978944,621993984,64253952,232673280,266670080,267145216,14663680,24928256,24719360
61947904,55947264,126976,978944,621993984,64253952,249798656,266670080,267145216,14663680,24928256,24719360
63270912,55947264,126976,978944,621993984,64253952,249798656,266670080,267145216,14663680,24928256,24719360
63270912,55947264,126976,978944,621993984,64253952,249798656,266670080,267145216,14663680,24928256,24719360
63270912,55947264,126976,978944,621993984,64253952,249798656,266670080,267145216,14663680,24928256,24719360
