dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,12288,12288,12288,12288,8192,8192,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,8192,8192,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,8192,8192,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,8192,8192,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,8192,8192,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,8192,53248,0,0,0,0,4096,4096,4096,4096
12288,12288,12288,12288,12288,12288,131072,53248,0,0,0,0,40960,4096,4096,40960
12288,12288,12288,12288,12288,12288,131072,53248,0,0,0,0,40960,40960,4096,40960
12288,12288,12288,12288,12288,12288,139264,53248,49152,49152,0,49152,40960,40960,4096,40960
12288,12288,94208,57344,12288,12288,139264,53248,49152,49152,49152,49152,40960,40960,40960,40960
94208,12288,139264,57344,12288,57344,139264,53248,86016,77824,49152,77824,40960,40960,40960,40960
94208,12288,139264,57344,12288,57344,139264,53248,86016,77824,49152,77824,40960,40960,40960,40960
139264,94208,139264,57344,57344,57344,139264,53248,102400,102400,77824,98304,40960,40960,40960,40960
172032,94208,172032,57344,57344,57344,139264,53248,102400,102400,81920,98304,40960,40960,40960,40960
172032,147456,172032,57344,57344,57344,139264,53248,102400,102400,81920,98304,40960,40960,40960,40960
188416,147456,188416,57344,57344,57344,139264,53248,102400,102400,81920,98304,40960,40960,40960,40960
188416,176128,15757312,57344,57344,57344,139264,53248,10588160,10588160,98304,15667200,40960,40960,40960,40960
10674176,192512,39636992,57344,57344,57344,139264,53248,10588160,10588160,98304,39546880,40960,40960,40960,40960
10674176,192512,39636992,57344,57344,57344,139264,53248,18800640,15671296,98304,39546880,40960,40960,40960,40960
10674176,15761408,39636992,57344,57344,57344,139264,53248,18800640,15671296,39546880,39546880,40960,40960,40960,40960
10674176,15761408,39636992,57344,57344,57344,139264,53248,39550976,39550976,39546880,39546880,40960,40960,40960,40960
10674176,39641088,39636992,57344,57344,57344,139264,53248,39550976,39550976,39546880,39546880,40960,40960,40960,40960
15757312,39641088,39636992,57344,57344,57344,139264,53248,39550976,39550976,39546880,39546880,40960,40960,40960,40960
15757312,39641088,39636992,57344,57344,57344,139264,53248,39550976,39550976,39546880,39546880,40960,40960,40960,40960
