dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
40960,172032,798720,4096,63520768,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,63520768,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,63520768,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,63520768,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,63520768,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,142057472,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,142057472,64057344,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,400916480,64126976,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,400916480,64126976,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,559276032,64126976,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,4096,559276032,64126976,43057152,36864,20385792,63201280,36864,385024
40960,172032,798720,45056,625889280,64126976,43057152,109748224,20385792,63266816,118784,385024
40960,172032,839680,45056,625889280,64126976,59232256,294260736,20385792,63266816,118784,438272
114688,401408,839680,45056,625889280,64126976,59232256,324059136,20647936,63266816,118784,438272
118784,434176,839680,45056,625889280,64126976,120246272,324059136,20647936,63266816,118784,438272
163840,487424,839680,45056,625889280,64126976,153788416,382455808,24510464,63266816,118784,438272
163840,487424,839680,45056,625889280,64126976,169136128,406208512,44232704,63266816,118784,438272
233472,17059840,839680,45056,625889280,64126976,169136128,409165824,44232704,63266816,118784,438272
15802368,17059840,839680,45056,625889280,64126976,171208704,409165824,48885760,63266816,118784,438272
15802368,63115264,839680,45056,625889280,64126976,181694464,409665536,48885760,63266816,118784,438272
39710720,63115264,839680,45056,625889280,64126976,181694464,420151296,49205248,63266816,118784,438272
39710720,63123456,839680,45056,625889280,64126976,234385408,420151296,64774144,63266816,118784,438272
39710720,63123456,839680,45056,625889280,64126976,234385408,449142784,88682496,63266816,118784,438272
39710720,64446464,839680,45056,625889280,64126976,234385408,449142784,88682496,63266816,118784,438272
39710720,64446464,839680,45056,625889280,64126976,234385408,449142784,88682496,63266816,118784,438272
39710720,64446464,839680,45056,625889280,64126976,234385408,449142784,88682496,63266816,118784,438272
