dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,110592,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,110592,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,139264,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,139264,102400,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,143360,102400,0,0,0,0,4096,102400,4096,4096
0,0,0,4096,4096,4096,143360,102400,110592,110592,0,0,102400,102400,102400,4096
0,106496,0,4096,102400,4096,143360,102400,139264,110592,110592,110592,102400,102400,102400,102400
106496,106496,0,102400,102400,102400,143360,102400,139264,110592,110592,110592,102400,102400,102400,102400
135168,139264,106496,102400,102400,102400,143360,102400,143360,139264,139264,110592,102400,102400,102400,102400
139264,139264,139264,102400,102400,102400,143360,102400,143360,143360,143360,139264,102400,102400,102400,102400
155648,155648,139264,102400,102400,102400,143360,102400,159744,143360,143360,143360,102400,102400,102400,102400
155648,155648,155648,102400,102400,102400,143360,102400,159744,143360,143360,143360,102400,102400,102400,102400
155648,36372480,155648,102400,102400,102400,143360,102400,159744,143360,143360,143360,102400,102400,102400,102400
15724544,39604224,155648,102400,102400,102400,143360,102400,10645504,159744,163840,159744,102400,102400,102400,102400
15724544,39604224,18944000,102400,102400,102400,143360,102400,10645504,159744,163840,159744,102400,102400,102400,102400
39604224,39604224,18944000,102400,102400,102400,143360,102400,15728640,159744,163840,163840,102400,102400,102400,102400
39604224,39604224,39604224,102400,102400,102400,143360,102400,39608320,159744,163840,15732736,102400,102400,102400,102400
39604224,39604224,39604224,102400,102400,102400,143360,102400,39608320,29601792,163840,15732736,102400,102400,102400,102400
