dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,253952,12288,12288,802816,66998272,66240512,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,66998272,66240512,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,66998272,66363392,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,334249984,66363392,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,555782144,66363392,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,599027712,66363392,8192,12288,66486272,12288,356352,45056,65822720,176128
12288,12288,253952,12288,12288,802816,640278528,66363392,8192,12288,66486272,12288,356352,45056,65822720,299008
405504,12288,253952,12288,118784,909312,640278528,66363392,143360,12288,66621440,300453888,462848,151552,65929216,299008
483328,155648,389120,118784,118784,909312,640278528,66363392,44224512,147456,103358464,346710016,462848,151552,65929216,299008
712704,184320,438272,118784,118784,909312,640278528,66363392,72691712,29331456,115589120,380022784,462848,151552,65929216,299008
17256448,229376,471040,118784,118784,909312,640278528,66363392,86183936,41447424,130781184,392687616,462848,151552,65929216,299008
64548864,39677952,16039936,118784,118784,909312,640278528,66363392,86183936,42463232,141283328,392720384,462848,151552,65929216,299008
64548864,39677952,39919616,118784,118784,909312,640278528,66363392,96669696,58032128,192319488,432168960,462848,151552,65929216,299008
