dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,4096,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,122880,4096,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,122880,114688,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,122880,114688,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,122880,114688,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,155648,114688,0,0,0,0,4096,4096,4096,4096
0,0,0,4096,4096,4096,155648,114688,0,0,0,0,4096,4096,4096,4096
0,0,0,114688,114688,114688,155648,114688,0,0,0,0,4096,4096,4096,4096
118784,0,118784,114688,114688,114688,155648,114688,0,0,0,0,114688,114688,4096,4096
118784,118784,118784,114688,114688,114688,155648,114688,118784,118784,0,118784,114688,114688,114688,114688
147456,147456,151552,114688,114688,114688,155648,114688,147456,118784,0,147456,114688,114688,114688,114688
151552,147456,155648,114688,114688,114688,155648,114688,147456,147456,118784,147456,114688,114688,114688,114688
151552,167936,155648,114688,114688,114688,155648,114688,147456,151552,147456,147456,114688,114688,114688,114688
167936,167936,167936,114688,114688,114688,155648,114688,167936,167936,151552,167936,114688,114688,114688,114688
167936,167936,167936,114688,114688,114688,155648,114688,167936,167936,151552,167936,114688,114688,114688,114688
10653696,167936,39616512,114688,114688,114688,155648,114688,167936,167936,151552,167936,114688,114688,114688,114688
10653696,167936,39616512,114688,114688,114688,155648,114688,167936,167936,151552,167936,114688,114688,114688,114688
10653696,167936,39616512,114688,114688,114688,155648,114688,15736832,167936,167936,167936,114688,114688,114688,114688
15736832,167936,39616512,114688,114688,114688,155648,114688,15736832,167936,167936,15736832,114688,114688,114688,114688
39616512,167936,39616512,114688,114688,114688,155648,114688,39616512,167936,10653696,39616512,114688,114688,114688,114688
39616512,15736832,39616512,114688,114688,114688,155648,114688,39616512,167936,39616512,39616512,114688,114688,114688,114688
