dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,184320,12288,12288,733184,81920,63565824,63737856,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,184320,12288,12288,733184,81920,63565824,63938560,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,184320,12288,12288,733184,81920,63565824,64057344,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,184320,12288,12288,733184,81920,460238848,64057344,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,184320,12288,12288,733184,81920,681168896,64057344,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,184320,12288,12288,733184,81920,717238272,64057344,3637248,421888,59613184,12288,10190848,26054656,27377664,81920
12288,319488,12288,12288,839680,81920,746106880,64057344,3637248,421888,59613184,12288,10309632,26161152,27480064,184320
147456,602112,155648,118784,839680,188416,746106880,64057344,3903488,421888,391266304,12447744,10309632,26161152,27480064,184320
225280,651264,196608,118784,839680,188416,746106880,64057344,19324928,17043456,466165760,100524032,10309632,26161152,27480064,184320
10727424,1564672,10715136,118784,839680,188416,746106880,64057344,42774528,52125696,480149504,131035136,10309632,26161152,27480064,184320
41717760,22552576,21217280,118784,839680,188416,746106880,64057344,42799104,52293632,480854016,131276800,10309632,26161152,27480064,184320
73175040,22552576,31703040,118784,839680,188416,746106880,64057344,53284864,62779392,501841920,152276992,10309632,26161152,27480064,184320
73175040,22552576,31703040,118784,839680,188416,746106880,64057344,53284864,73281536,522317824,162762752,10309632,26161152,27480064,184320
140345344,33038336,31703040,118784,839680,188416,746106880,64057344,63799296,83767296,532803584,162762752,10309632,26161152,27480064,184320
238276608,43028480,41693184,118784,839680,188416,746106880,64057344,63799296,93769728,543289344,162762752,10309632,26161152,27480064,184320
257716224,43028480,73150464,118784,839680,188416,746106880,64057344,74285056,93769728,553775104,172752896,10309632,26161152,27480064,184320
287125504,53514240,179531776,118784,839680,188416,746106880,64057344,84275200,104255488,553775104,183238656,10309632,26161152,27480064,184320
287125504,64000000,228859904,118784,839680,188416,746106880,64057344,94760960,114741248,722300928,193724416,10309632,26161152,27480064,184320
287125504,74485760,246673408,118784,839680,188416,746106880,64057344,105246720,125227008,745566208,204210176,10309632,26161152,27480064,184320
287125504,219127808,246702080,118784,839680,188416,746106880,64057344,188477440,270172160,760610816,349274112,10309632,26161152,27480064,184320
287125504,230207488,264450048,118784,839680,188416,746106880,64057344,271486976,289361920,778498048,360562688,10309632,26161152,27480064,184320
287125504,248020992,264450048,118784,839680,188416,746106880,64057344,289304576,298864640,778498048,368861184,10309632,26161152,27480064,184320
287125504,248045568,264450048,118784,839680,188416,746106880,64057344,307085312,316612608,778498048,396111872,10309632,26161152,27480064,184320
