dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64393216,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64450560,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,63508480,64450560,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,374222848,64450560,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,546254848,64450560,12288,454656,63262720,24576,360448,28033024,35352576,69632
118784,28672,61440,16384,12288,798720,546254848,64450560,12288,454656,63262720,24576,360448,28033024,35352576,126976
118784,28672,61440,16384,12288,798720,591560704,64450560,167809024,454656,63262720,24576,360448,28098560,35352576,126976
118784,28672,61440,57344,12288,839680,625913856,64450560,167809024,454656,122290176,24576,425984,28098560,35418112,126976
118784,28672,159744,57344,65536,839680,625913856,64450560,228413440,626688,122290176,5271552,425984,28098560,35418112,126976
192512,28672,167936,57344,65536,839680,625913856,64450560,235216896,14647296,145448960,13885440,425984,28098560,35418112,126976
192512,114688,212992,57344,65536,839680,625913856,64450560,264208384,14647296,166203392,50499584,425984,28098560,35418112,126976
245760,167936,212992,57344,65536,839680,625913856,64450560,264208384,45379584,183517184,50499584,425984,28098560,35418112,126976
258048,167936,1257472,57344,65536,839680,625913856,64450560,275968000,45379584,183517184,66666496,425984,28098560,35418112,126976
290816,196608,57622528,57344,65536,839680,625913856,64450560,275968000,62808064,198049792,79085568,425984,28098560,35418112,126976
10776576,10698752,57622528,57344,65536,839680,625913856,64450560,289079296,62873600,198131712,79085568,425984,28098560,35418112,126976
10776576,10698752,64282624,57344,65536,839680,625913856,64450560,289234944,62873600,198131712,79216640,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,289234944,62939136,199172096,79216640,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,289234944,62939136,199172096,79216640,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,289234944,62939136,199172096,89702400,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,329580544,62939136,209657856,125071360,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,341680128,62939136,209657856,125071360,425984,28098560,35418112,126976
39739392,39669760,64282624,57344,65536,839680,625913856,64450560,341680128,78508032,238620672,129372160,425984,28098560,35418112,126976
