dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
16384,180224,851968,12288,67002368,67239936,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,67002368,67239936,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,260960256,67362816,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,442904576,67362816,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,533209088,67362816,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,683294720,67362816,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,711036928,67362816,57229312,12288,9076736,66146304,69632,180224
16384,180224,851968,12288,731852800,67362816,57229312,12288,9076736,66146304,69632,180224
16384,315392,851968,118784,749604864,67362816,57229312,12288,9076736,66146304,69632,180224
16384,598016,958464,118784,749604864,67362816,57229312,12288,9076736,66146304,69632,286720
155648,651264,958464,118784,749604864,67362816,82829312,2121728,14270464,66269184,176128,286720
208896,1576960,958464,118784,749604864,67362816,174247936,109879296,119074816,66269184,176128,286720
237568,22564864,958464,118784,749604864,67362816,187584512,154480640,143671296,66269184,176128,286720
253952,43040768,958464,118784,749604864,67362816,257523712,193327104,223145984,66269184,176128,286720
21241856,74498048,958464,118784,749604864,67362816,270557184,217534464,230002688,66269184,176128,286720
41717760,224854016,958464,118784,749604864,67362816,281088000,218488832,230047744,66269184,176128,286720
52203520,244129792,958464,118784,749604864,67362816,291590144,218488832,230047744,66269184,176128,286720
52203520,252432384,958464,118784,749604864,67362816,312066048,218488832,230047744,66269184,176128,286720
62689280,275230720,958464,118784,749604864,67362816,333037568,218488832,240533504,66269184,176128,286720
62689280,292978688,958464,118784,749604864,67362816,343523328,228974592,240533504,66269184,176128,286720
73175040,292978688,958464,118784,749604864,67362816,494051328,239476736,251035648,66269184,176128,286720
218107904,292978688,958464,118784,749604864,67362816,518377472,249962496,271511552,66269184,176128,286720
233025536,292978688,958464,118784,749604864,67362816,521879552,259952640,292483072,66269184,176128,286720
241352704,292978688,958464,118784,749604864,67362816,521883648,270438400,442810368,66269184,176128,286720
250822656,292978688,958464,118784,749604864,67362816,572538880,280924160,447901696,66269184,176128,286720
268587008,292978688,958464,118784,749604864,67362816,572538880,436338688,462999552,66269184,176128,286720
268587008,292978688,958464,118784,749604864,67362816,572538880,451436544,480849920,66269184,176128,286720
268587008,292978688,958464,118784,749604864,67362816,572538880,469254144,498593792,66269184,176128,286720
