dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,184320,798720,16384,63508480,64036864,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,63508480,64237568,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,63508480,64237568,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,63508480,64237568,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,63508480,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,63508480,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,365678592,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,365678592,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,481550336,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,481550336,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,602222592,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,636760064,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,636760064,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,798720,16384,636760064,64360448,63508480,12288,8192,63594496,12288,221184
12288,184320,905216,16384,636760064,64360448,63508480,12288,27496448,63594496,135168,327680
12288,184320,905216,122880,636760064,64360448,63508480,181579776,127045632,63700992,135168,327680
438272,319488,905216,122880,636760064,64360448,63508480,181579776,127045632,63700992,135168,327680
438272,319488,905216,122880,636760064,64360448,63639552,231641088,190566400,63700992,135168,327680
647168,352256,905216,122880,636760064,64360448,63639552,231641088,219131904,63700992,135168,327680
647168,364544,905216,122880,636760064,64360448,100909056,277368832,219131904,63700992,135168,327680
1687552,364544,905216,122880,636760064,64360448,112435200,277368832,236650496,63700992,135168,327680
1687552,10883072,905216,122880,636760064,64360448,112435200,290168832,236650496,63700992,135168,327680
57880576,39874560,905216,122880,636760064,64360448,112472064,290873344,237289472,63700992,135168,327680
57880576,39874560,905216,122880,636760064,64360448,136978432,290873344,237289472,63700992,135168,327680
64479232,39874560,905216,122880,636760064,64360448,136978432,306442240,276021248,63700992,135168,327680
64479232,39874560,905216,122880,636760064,64360448,175464448,330354688,276021248,63700992,135168,327680
64479232,39874560,905216,122880,636760064,64360448,175464448,330354688,276766720,63700992,135168,327680
