dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,63508480,63893504,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,245444608,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,245444608,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,383418368,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,517394432,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,517394432,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,636743680,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,636743680,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,689672192,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,689672192,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,706314240,63950848,49152,4456448,59011072,385024,36864,63270912
12288,184320,12288,802816,706314240,63950848,49152,4456448,59011072,442368,249856,63270912
12288,184320,12288,802816,717406208,63950848,49152,102203392,59011072,442368,249856,63270912
12288,184320,12288,802816,717406208,63950848,145932288,102203392,63586304,442368,249856,63336448
12288,184320,53248,843776,735186944,63950848,165629952,164147200,77164544,442368,249856,63336448
86016,282624,53248,843776,735186944,63950848,165629952,187973632,77164544,442368,249856,63336448
86016,290816,53248,843776,735186944,63950848,207818752,187973632,111976448,442368,249856,63336448
94208,290816,53248,843776,735186944,63950848,207818752,221483008,111976448,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,248303616,259461120,148647936,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,248303616,259461120,163983360,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,261591040,267575296,163983360,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,261591040,267575296,164712448,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,261591040,267575296,164712448,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,261591040,267575296,164712448,442368,249856,63336448
139264,929792,53248,843776,735186944,63950848,261627904,268013568,164724736,442368,249856,63336448
139264,1318912,53248,843776,735186944,63950848,261627904,268013568,164724736,442368,249856,63336448
139264,1318912,53248,843776,735186944,63950848,261627904,268013568,164724736,442368,249856,63336448
139264,1318912,53248,843776,735186944,63950848,261627904,268013568,164724736,442368,249856,63336448
139264,1318912,53248,843776,735186944,63950848,261627904,268013568,164724736,442368,249856,63336448
139264,1318912,53248,843776,735186944,63950848,261664768,268013568,165019648,442368,249856,63336448
167936,2244608,53248,843776,735186944,63950848,261730304,268091392,176467968,442368,249856,63336448
315392,2244608,53248,843776,735186944,63950848,261730304,268144640,176467968,442368,249856,63336448
315392,12730368,53248,843776,735186944,63950848,261902336,268144640,176467968,442368,249856,63336448
6000640,23232512,53248,843776,735186944,63950848,261902336,268144640,176467968,442368,249856,63336448
21303296,23232512,53248,843776,735186944,63950848,261902336,268144640,176467968,442368,249856,63336448
21303296,33718272,53248,843776,735186944,63950848,261902336,268144640,186970112,442368,249856,63336448
41791488,33718272,53248,843776,735186944,63950848,261902336,278630400,186970112,442368,249856,63336448
62763008,33718272,53248,843776,735186944,63950848,261902336,278630400,186970112,442368,249856,63336448
62763008,43708416,53248,843776,735186944,63950848,261902336,278630400,186970112,442368,249856,63336448
73248768,43708416,53248,843776,735186944,63950848,272388096,278630400,186970112,442368,249856,63336448
223617024,43708416,53248,843776,735186944,63950848,272388096,278630400,186970112,442368,249856,63336448
223617024,54194176,53248,843776,735186944,63950848,272388096,278630400,197455872,442368,249856,63336448
223617024,54194176,53248,843776,735186944,63950848,282902528,289132544,207446016,442368,249856,63336448
223617024,54194176,53248,843776,735186944,63950848,282902528,289132544,217931776,442368,249856,63336448
242794496,54194176,53248,843776,735186944,63950848,282902528,299618304,217931776,442368,249856,63336448
242839552,54194176,53248,843776,735186944,63950848,282902528,299618304,217931776,442368,249856,63336448
242839552,64679936,53248,843776,735186944,63950848,293388288,309608448,238903296,442368,249856,63336448
242839552,64679936,53248,843776,735186944,63950848,293388288,309608448,238903296,442368,249856,63336448
242839552,75165696,53248,843776,735186944,63950848,293388288,320094208,389529600,442368,249856,63336448
251138048,219840512,53248,843776,735186944,63950848,313864192,320094208,399785984,442368,249856,63336448
266387456,220102656,53248,843776,735186944,63950848,313864192,330579968,399785984,442368,249856,63336448
273862656,220102656,53248,843776,735186944,63950848,324349952,330579968,417357824,442368,249856,63336448
273862656,235126784,53248,843776,735186944,63950848,324349952,341065728,417357824,442368,249856,63336448
273928192,235126784,53248,843776,735186944,63950848,324349952,341065728,425779200,442368,249856,63336448
273928192,243429376,53248,843776,735186944,63950848,334835712,485826560,442851328,442368,249856,63336448
273928192,252932096,53248,843776,735186944,63950848,334835712,485826560,450543616,442368,249856,63336448
273928192,252932096,53248,843776,735186944,63950848,334835712,492408832,450543616,442368,249856,63336448
291676160,252948480,53248,843776,735186944,63950848,480006144,492408832,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,480006144,501497856,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,486191104,501506048,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,495226880,501506048,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,495300608,519327744,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,495300608,537088000,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,495300608,537088000,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,513081344,537088000,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,513081344,537088000,468303872,442368,249856,63336448
291676160,270696448,53248,843776,735186944,63950848,513114112,537088000,468303872,442368,249856,63336448
