dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
184320,802816,63508480,63934464,8192,63373312,364544,63229952
184320,802816,63508480,63934464,8192,63373312,364544,63229952
184320,802816,63508480,63934464,8192,63373312,364544,63229952
184320,802816,63508480,63934464,8192,63373312,364544,63229952
184320,802816,63508480,63934464,8192,63373312,364544,63229952
184320,802816,80900096,64049152,8192,63373312,364544,63229952
184320,802816,376446976,64049152,8192,63373312,364544,63229952
184320,802816,376446976,64049152,8192,63373312,364544,63229952
184320,802816,480399360,64049152,8192,63373312,364544,63229952
184320,802816,578375680,64049152,8192,63373312,364544,63229952
184320,802816,578375680,64049152,8192,63373312,364544,63229952
184320,802816,636751872,64049152,8192,63373312,364544,63229952
184320,802816,636751872,64049152,8192,63373312,364544,63229952
184320,802816,636751872,64049152,8192,63373312,626688,63229952
184320,802816,636751872,64049152,74747904,63373312,626688,63229952
184320,909312,636751872,64049152,74747904,63373312,626688,63229952
610304,909312,636751872,64049152,316198912,63500288,626688,63336448
655360,909312,636751872,64049152,391503872,106758144,626688,63336448
655360,909312,636751872,64049152,391503872,106758144,626688,63336448
880640,909312,636751872,64049152,448999424,160915456,626688,63336448
17420288,909312,636751872,64049152,448999424,183652352,626688,63336448
64688128,909312,636751872,64049152,464982016,183652352,626688,63336448
64806912,909312,636751872,64049152,465018880,187871232,626688,63336448
64806912,909312,636751872,64049152,475504640,203440128,626688,63336448
64806912,909312,636751872,64049152,475504640,203440128,626688,63336448
64806912,909312,636751872,64049152,504561664,250925056,626688,63336448
64806912,909312,636751872,64049152,504561664,250925056,626688,63336448
