dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
196608,802816,63508480,64012288,63639552,12288,63590400,12288
196608,802816,63508480,64012288,63639552,12288,63590400,12288
196608,802816,63508480,64012288,63639552,12288,63590400,12288
196608,802816,63508480,64012288,63639552,12288,63590400,12288
196608,802816,63508480,64012288,63639552,12288,63590400,12288
196608,802816,116174848,64143360,63639552,12288,63590400,12288
196608,802816,116174848,64143360,63639552,12288,63590400,12288
196608,802816,385536000,64143360,63639552,12288,63590400,12288
196608,802816,385536000,64143360,63639552,12288,63590400,12288
196608,802816,561147904,64143360,63639552,12288,63590400,12288
196608,802816,636768256,64143360,63639552,12288,63590400,12288
196608,802816,636768256,64143360,63639552,12288,63590400,12288
196608,802816,636768256,64143360,63639552,12288,63590400,12288
196608,802816,636768256,64143360,63639552,12288,63590400,12288
196608,917504,636768256,64143360,63639552,12288,63721472,12288
647168,917504,636768256,64143360,297529344,40574976,63721472,122880
647168,917504,636768256,64143360,334086144,40574976,63721472,122880
700416,917504,636768256,64143360,393265152,72503296,63721472,122880
700416,917504,636768256,64143360,393265152,152858624,63721472,122880
933888,917504,636768256,64143360,445157376,175325184,63721472,122880
17489920,917504,636768256,64143360,462315520,175325184,63721472,122880
63434752,917504,636768256,64143360,462315520,176635904,63721472,122880
63434752,917504,636768256,64143360,462360576,176635904,63721472,122880
64876544,917504,636768256,64143360,525443072,192204800,63721472,122880
