dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,10514432,12288,802816,56594432,66355200,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,56594432,66355200,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,283541504,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,396783616,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,521183232,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,693481472,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,702025728,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,721416192,66478080,23986176,12288,42172416,12288,69632,66113536
12288,10514432,12288,802816,739196928,66478080,23986176,12288,42172416,12288,69632,66236416
12288,10514432,12288,802816,739196928,66478080,23986176,12288,348295168,12288,176128,66236416
147456,10649600,118784,909312,739196928,66478080,24121344,12288,386686976,118784,176128,66236416
155648,10940416,118784,909312,739196928,66478080,24129536,151552,529453056,118784,176128,66236416
212992,11595776,118784,909312,739196928,66478080,37851136,73449472,575815680,118784,176128,66236416
11046912,22081536,118784,909312,739196928,66478080,54947840,76238848,587132928,118784,176128,66236416
11046912,53059584,118784,909312,739196928,66478080,54964224,76283904,588070912,118784,176128,66236416
11046912,53059584,118784,909312,739196928,66478080,65449984,76283904,598556672,118784,176128,66236416
11046912,63545344,118784,909312,739196928,66478080,75952128,86769664,609058816,118784,176128,66236416
21549056,63545344,118784,909312,739196928,66478080,86437888,97271808,619544576,118784,176128,66236416
21549056,84516864,118784,909312,739196928,66478080,106913792,107757568,619544576,118784,176128,66236416
21549056,234868736,118784,909312,739196928,66478080,117399552,117747712,629534720,118784,176128,66236416
42024960,254152704,118784,909312,739196928,66478080,127885312,128233472,629534720,118784,176128,66236416
42024960,262455296,118784,909312,739196928,66478080,233754624,138719232,640020480,118784,176128,66236416
52510720,285241344,118784,909312,739196928,66478080,278663168,149204992,650506240,118784,176128,66236416
62996480,302993408,118784,909312,739196928,66478080,297750528,293904384,660992000,118784,176128,66236416
62996480,302993408,118784,909312,739196928,66478080,331014144,297103360,750596096,118784,176128,66236416
218177536,302993408,118784,909312,739196928,66478080,339079168,309280768,811921408,118784,176128,66236416
230404096,302993408,118784,909312,739196928,66478080,356827136,327053312,821067776,118784,176128,66236416
233357312,302993408,118784,909312,739196928,66478080,356827136,327086080,821075968,118784,176128,66236416
251154432,302993408,118784,909312,739196928,66478080,356827136,344834048,838868992,118784,176128,66236416
